,time_start,time_end,model,launch_place,target,launched,destroyed,not_reach_goal,latitude,longitude
0,08.06.2023,08.06.2023,Kalibr,Black Sea,Cherkasy oblast,2.0,0,,49.1460165,31.2271744
1,11.11.2024,12.11.2024,X-59/X-69,Kursk oblast,Chernihiv oblast,2.0,0,,51.272593,31.7417235
2,15.10.2024,16.10.2024,X-59,Kursk oblast,Chernihiv oblast,1.0,0,,51.272593,31.7417235
3,12.09.2024,12.09.2024,Iskander-M,Kursk oblast,Chernihiv oblast,2.0,0,,51.272593,31.7417235
4,11.09.2024,11.09.2024,X-59/X-69,Bryansk oblast,Chernihiv oblast,1.0,0,,51.272593,31.7417235
5,04.06.2024,04.06.2024,Unknown UAV,north,Chernihiv oblast,4.0,4,,51.272593,31.7417235
6,17.03.2024,17.03.2024,X-59,,Chernihiv oblast,2.0,0,,51.272593,31.7417235
7,15.05.2024,15.05.2024,X-59/X-69,,Dnipro,1.0,1,,51.9191343,30.8243039
8,02.04.2024,02.04.2024,X-59,,Dnipro,1.0,1,,51.9191343,30.8243039
9,04.01.2024,04.01.2024,X-59,,Dnipro,2.0,2,,51.9191343,30.8243039
10,30.12.2023,30.12.2023,X-59,,Dnipro,1.0,1,,51.9191343,30.8243039
11,06.12.2023,06.12.2023,X-59,,Dnipro,1.0,1,,51.9191343,30.8243039
12,24.08.2023,24.08.2023,Iskander-K,,Dnipro,1.0,1,,51.9191343,30.8243039
13,14.01.2023,14.01.2023,X-22,Kursk oblast,Dnipro,1.0,0,,51.9191343,30.8243039
14,03.11.2024,04.11.2024,Iskander-M,Rostov oblast,Dnipropetrovsk oblast,1.0,0,,48.662589,34.9501715
15,21.09.2024,21.09.2024,Iskander-M/KN-23,Crimea and Rostov oblast,Dnipropetrovsk oblast,4.0,0,,48.662589,34.9501715
16,20.09.2024,20.09.2024,X-59/X-69,Zaporizhzhia oblast,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
17,07.07.2024,07.07.2024,Unknown UAV,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
18,07.07.2024,07.07.2024,Supercam,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
19,03.07.2024,03.07.2024,X-59,,Dnipropetrovsk oblast,4.0,4,,48.662589,34.9501715
20,03.07.2024,03.07.2024,Shahed-136/131,,Dnipropetrovsk oblast,5.0,5,,48.662589,34.9501715
21,03.07.2024,03.07.2024,Orlan-10,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
22,03.07.2024,03.07.2024,Iskander-K,,Dnipropetrovsk oblast,3.0,1,,48.662589,34.9501715
23,02.07.2024,02.07.2024,X-59/X-69,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
24,20.06.2024,20.06.2024,X-101/X-555,Caspian Sea,Dnipropetrovsk oblast,4.0,4,,48.662589,34.9501715
25,19.06.2024,19.06.2024,Kalibr,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
26,13.06.2024,13.06.2024,Orlan-10,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
27,11.06.2024,11.06.2024,X-59/X-69,,Dnipropetrovsk oblast,2.0,2,,48.662589,34.9501715
28,06.06.2024,06.06.2024,Orlan-10,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
29,06.06.2024,06.06.2024,Iskander-M,Taganrog,Dnipropetrovsk oblast,2.0,0,,48.662589,34.9501715
30,01.06.2024,01.06.2024,Iskander-K,Crimea,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
31,18.05.2024,18.05.2024,X-59/X-69,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
32,18.05.2024,18.05.2024,Supercam,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
33,18.05.2024,18.05.2024,Shahed-136/131,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
34,16.05.2024,16.05.2024,Lancet,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
35,08.05.2024,08.05.2024,X-59/X-69,Zaporizhzhia oblast,Dnipropetrovsk oblast,2.0,2,,48.662589,34.9501715
36,20.04.2024,20.04.2024,Supercam,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
37,02.04.2024,02.04.2024,Shahed-136/131,"Chauda, Crimea",Dnipropetrovsk oblast,10.0,9,,48.662589,34.9501715
38,27.03.2024,27.03.2024,Supercam,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
39,01.03.2024,01.03.2024,Unknown UAV,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
40,26.02.2024,26.02.2024,X-59,,Dnipropetrovsk oblast,3.0,3,,48.662589,34.9501715
41,08.12.2023,08.12.2023,Shahed-136/131,Primorsko-Akhtarsk,Dnipropetrovsk oblast,7.0,7,,48.662589,34.9501715
42,06.12.2023,06.12.2023,Supercam,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
43,02.12.2023,02.12.2023,X-59,Zaporizhzhia oblast,Dnipropetrovsk oblast,1.0,0,,48.662589,34.9501715
44,25.11.2023,25.11.2023,X-59,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
45,15.10.2023,15.10.2023,Unknown UAV,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
46,03.10.2023,03.10.2023,Iskander-K,"Dzhankoi, Crimea",Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
47,25.08.2023,25.08.2023,Shahed-136/131,Primorsko-Akhtarsk,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
48,24.06.2023,24.06.2023,X-22,,Dnipropetrovsk oblast,9.0,0,,48.662589,34.9501715
49,22.06.2023,22.06.2023,X-47 Kinzhal,,Dnipropetrovsk oblast,3.0,0,,48.662589,34.9501715
50,22.06.2023,22.06.2023,X-22,Sea of Azov,Dnipropetrovsk oblast,3.0,0,,48.662589,34.9501715
51,15.06.2023,15.06.2023,X-101/X-555,Caspian Sea,Dnipropetrovsk oblast,4.0,1,,48.662589,34.9501715
52,25.05.2023,26.05.2023,C-300/C-400,Tokmak,Dnipropetrovsk oblast,7.0,0,,48.662589,34.9501715
53,20.01.2023,20.01.2023,Merlin-VR,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
54,01.11.2022,01.11.2022,Shahed-136/131,north-east,Dnipropetrovsk oblast,3.0,3,,48.662589,34.9501715
55,25.10.2022,25.10.2022,Shahed-136/131,,Dnipropetrovsk oblast,1.0,1,,48.662589,34.9501715
56,15.10.2024,16.10.2024,C-300/C-400,Donetsk oblast,Donetsk oblast,1.0,0,,47.9212914,37.7809825
57,20.09.2024,20.09.2024,Unknown Missile,,Donetsk oblast,3.0,0,,47.9212914,37.7809825
58,26.07.2024,26.07.2024,Iskander-M,Rostov oblast,Donetsk oblast,1.0,0,,47.9212914,37.7809825
59,12.04.2024,12.04.2024,X-59,,Donetsk oblast,1.0,0,,47.9212914,37.7809825
