time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2023-06-08;2023-06-08;Kalibr;Black Sea;Cherkasy oblast;2.0;0;
2024-11-11;2024-11-12;X-59/X-69;Kursk oblast;Chernihiv oblast;2.0;0;
2024-10-15;2024-10-16;X-59;Kursk oblast;Chernihiv oblast;1.0;0;
2024-09-12;2024-09-12;Iskander-M;Kursk oblast;Chernihiv oblast;2.0;0;
2024-09-11;2024-09-11;X-59/X-69;Bryansk oblast;Chernihiv oblast;1.0;0;
2024-06-04;2024-06-04;Unknown UAV;north;Chernihiv oblast;4.0;4;
2024-03-17;2024-03-17;X-59;;Chernihiv oblast;2.0;0;
2024-05-15;2024-05-15;X-59/X-69;;Dnipro;1.0;1;
2024-04-02;2024-04-02;X-59;;Dnipro;1.0;1;
2024-01-04;2024-01-04;X-59;;Dnipro;2.0;2;
2023-12-30;2023-12-30;X-59;;Dnipro;1.0;1;
2023-12-06;2023-12-06;X-59;;Dnipro;1.0;1;
2023-08-24;2023-08-24;Iskander-K;;Dnipro;1.0;1;
2023-01-14;2023-01-14;X-22;Kursk oblast;Dnipro;1.0;0;
2024-11-03;2024-11-04;Iskander-M;Rostov oblast;Dnipropetrovsk oblast;1.0;0;
2024-09-21;2024-09-21;Iskander-M/KN-23;Crimea and Rostov oblast;Dnipropetrovsk oblast;4.0;0;
2024-09-20;2024-09-20;X-59/X-69;Zaporizhzhia oblast;Dnipropetrovsk oblast;1.0;1;
2024-07-07;2024-07-07;Unknown UAV;;Dnipropetrovsk oblast;1.0;1;
2024-07-07;2024-07-07;Supercam;;Dnipropetrovsk oblast;1.0;1;
2024-07-03;2024-07-03;X-59;;Dnipropetrovsk oblast;4.0;4;
2024-07-03;2024-07-03;Shahed-136/131;;Dnipropetrovsk oblast;5.0;5;
2024-07-03;2024-07-03;Orlan-10;;Dnipropetrovsk oblast;1.0;1;
2024-07-03;2024-07-03;Iskander-K;;Dnipropetrovsk oblast;3.0;1;
2024-07-02;2024-07-02;X-59/X-69;;Dnipropetrovsk oblast;1.0;1;
2024-06-20;2024-06-20;X-101/X-555;Caspian Sea;Dnipropetrovsk oblast;4.0;4;
2024-06-19;2024-06-19;Kalibr;;Dnipropetrovsk oblast;1.0;1;
2024-06-13;2024-06-13;Orlan-10;;Dnipropetrovsk oblast;1.0;1;
2024-06-11;2024-06-11;X-59/X-69;;Dnipropetrovsk oblast;2.0;2;
2024-06-06;2024-06-06;Orlan-10;;Dnipropetrovsk oblast;1.0;1;
2024-06-06;2024-06-06;Iskander-M;Taganrog;Dnipropetrovsk oblast;2.0;0;
2024-06-01;2024-06-01;Iskander-K;Crimea;Dnipropetrovsk oblast;1.0;1;
2024-05-18;2024-05-18;X-59/X-69;;Dnipropetrovsk oblast;1.0;1;
2024-05-18;2024-05-18;Supercam;;Dnipropetrovsk oblast;1.0;1;
2024-05-18;2024-05-18;Shahed-136/131;;Dnipropetrovsk oblast;1.0;1;
2024-05-16;2024-05-16;Lancet;;Dnipropetrovsk oblast;1.0;1;
2024-05-08;2024-05-08;X-59/X-69;Zaporizhzhia oblast;Dnipropetrovsk oblast;2.0;2;
2024-04-20;2024-04-20;Supercam;;Dnipropetrovsk oblast;1.0;1;
2024-04-02;2024-04-02;Shahed-136/131;Chauda, Crimea;Dnipropetrovsk oblast;10.0;9;
2024-03-27;2024-03-27;Supercam;;Dnipropetrovsk oblast;1.0;1;
2024-03-01;2024-03-01;Unknown UAV;;Dnipropetrovsk oblast;1.0;1;
2024-02-26;2024-02-26;X-59;;Dnipropetrovsk oblast;3.0;3;
2023-12-08;2023-12-08;Shahed-136/131;Primorsko-Akhtarsk;Dnipropetrovsk oblast;7.0;7;
2023-12-06;2023-12-06;Supercam;;Dnipropetrovsk oblast;1.0;1;
2023-12-02;2023-12-02;X-59;Zaporizhzhia oblast;Dnipropetrovsk oblast;1.0;0;
2023-11-25;2023-11-25;X-59;;Dnipropetrovsk oblast;1.0;1;
2023-10-15;2023-10-15;Unknown UAV;;Dnipropetrovsk oblast;1.0;1;
2023-10-03;2023-10-03;Iskander-K;Dzhankoi, Crimea;Dnipropetrovsk oblast;1.0;1;
2023-08-25;2023-08-25;Shahed-136/131;Primorsko-Akhtarsk;Dnipropetrovsk oblast;1.0;1;
2023-06-24;2023-06-24;X-22;;Dnipropetrovsk oblast;9.0;0;
2023-06-22;2023-06-22;X-47 Kinzhal;;Dnipropetrovsk oblast;3.0;0;
2023-06-22;2023-06-22;X-22;Sea of Azov;Dnipropetrovsk oblast;3.0;0;
2023-06-15;2023-06-15;X-101/X-555;Caspian Sea;Dnipropetrovsk oblast;4.0;1;
2023-05-25;2023-05-26;C-300/C-400;Tokmak;Dnipropetrovsk oblast;7.0;0;
